mFq1M6vw-JM ACProcessMain
lVt0Ux1pAcg BN_add_word
ChQ8saJ2j+E BN_bin2bn
vDVTsfukSuU BN_bn2bin
iEE4nhybTTw BN_free
Nw0ioCQ9tbc BN_hex2bn
Gz+I4uxmv7M BN_mod_inverse
74vuH9BYkF0 BN_mul
NDsTaWhoVQI BN_new
VpW3ZH9ZKxY BN_num_bits
ZJvtsevwowQ BN_print
4ejAnR1Xpg8 BN_set_word
4BERqYMNCNU BN_sub_word
sBHhzqDUvkU BgsStorageClose
g9E2ShyXqJU BgsStorageFreeKeyValueResult
jkw52aHWgtk BgsStorageFreeListResult
nkbTjX8ghpY BgsStorageGetContainers
nEusu9xBLh0 BgsStorageGetItems
B0PtaDqaYm0 BgsStorageGetItemsBySearch
kevKTD6kQxw BgsStorageOpen
fz2LehpxqIc C1hi
AmgsrlAk78I C1lo
Pgt0gg14ewU CA_MGMT_allocCertDistinguishedName
wJ5jCpkCv-c CA_MGMT_certDistinguishedNameCompare
Vc2tb-mWu78 CA_MGMT_convertKeyBlobToPKCS8Key
IizpdlgPdpU CA_MGMT_convertKeyDER
Y-5sBnpVclY CA_MGMT_convertKeyPEM
jb6LuBv9weg CA_MGMT_convertPKCS8KeyToKeyBlob
ExsvtKwhWoM CA_MGMT_convertProtectedPKCS8KeyToKeyBlob
AvoadUUK03A CA_MGMT_decodeCertificate
S0DCFBqmhQY CA_MGMT_enumAltName
Xt+SprLPiVQ CA_MGMT_enumCrl
4HzS6Vkd-uU CA_MGMT_extractAllCertDistinguishedName
W80mmhRKtH8 CA_MGMT_extractBasicConstraint
7+F9pr5g26Q CA_MGMT_extractCertASN1Name
KsvuhF--f6k CA_MGMT_extractCertTimes
Md+HYkCBZB4 CA_MGMT_extractKeyBlobEx
rFiChDgHkGQ CA_MGMT_extractKeyBlobTypeEx
9bKYzKP6kYU CA_MGMT_extractPublicKeyInfo
xXCqbDBx6mA CA_MGMT_extractSerialNum
xakUpzS9qv0 CA_MGMT_extractSignature
m7EXDQRv7NU CA_MGMT_free
64t1HKepy1Q CA_MGMT_freeCertDistinguishedName
d7AAqdK2IDo CA_MGMT_freeCertDistinguishedNameOnStack
PysF6pUcK-o CA_MGMT_freeCertificate
ipLIammTj2Q CA_MGMT_freeKeyBlob
C05CUtDViqU CA_MGMT_freeSearchDetails
tq511UiaNlE CA_MGMT_getCertSignAlgoType
1e46hRscIE8 CA_MGMT_keyBlobToDER
5U2j47T1l70 CA_MGMT_keyBlobToPEM
+oCOy8+4at8 CA_MGMT_makeKeyBlobEx
YMbRl6PNq5U CA_MGMT_rawVerifyOID
O+JTn8Dwan8 CA_MGMT_reorderChain
he6CvWiX3iM CA_MGMT_returnCertificatePrints
w5ZBRGN1lzY CA_MGMT_verifyCertWithKeyBlob
5e5rj-coUv8 CA_MGMT_verifySignature
FXCfp5CwcPk CERT_CompSubjectAltNames
szJ8gsZdoHE CERT_CompSubjectAltNames2
1aewkTBcGEY CERT_CompSubjectAltNamesExact
gdWmmelQC1k CERT_CompSubjectCommonName
6Z-n6acrhTs CERT_CompSubjectCommonName2
p12OhhUCGEE CERT_ComputeBufferHash
oNJNApmHV+M CERT_GetCertTime
N+UDju8zxtE CERT_STORE_addCertAuthority
pIZfvPaYmrs CERT_STORE_addIdentity
D6QBgLq-nlc CERT_STORE_addIdentityNakedKey
uAHc6pgeFaQ CERT_STORE_addIdentityPSK
xdxuhUkYalI CERT_STORE_addIdentityWithCertificateChain
OcZJcxANLfw CERT_STORE_addTrustPoint
gu0eRZMqTu8 CERT_STORE_createStore
s1tJ1zBkky4 CERT_STORE_findCertBySubject
4aXDehFZLDA CERT_STORE_findIdentityByTypeFirst
K-g87UhrYQ8 CERT_STORE_findIdentityByTypeNext
ULOVCAVPJE4 CERT_STORE_findIdentityCertChainFirst
uS9P+bSWOC0 CERT_STORE_findIdentityCertChainNext
k3RI-YRkW-M CERT_STORE_findPskByIdentity
AloU5nLupdU CERT_STORE_releaseStore
gAHkf68L6+0 CERT_STORE_traversePskListHead
w2CtqF+x7og CERT_STORE_traversePskListNext
wdl-XapuxKU CERT_VerifyCertificatePolicies
BQah1z-QS-w CERT_VerifyCertificatePolicies2
CAgB8oEGwsY CERT_VerifyValidityTime
3wferxuMV6Y CERT_VerifyValidityTime2
UO2a3+5CCCs CERT_VerifyValidityTimeWithConf
6nH53ruuckc CERT_checkCertificateIssuer
MB3EExhoaJQ CERT_checkCertificateIssuer2
sDUV9VsqJD8 CERT_checkCertificateIssuerSerialNumber
5G+Z9vXPWYU CERT_decryptRSASignature
WZCBPnvf0fw CERT_decryptRSASignatureBuffer
AvjnXHAa7G0 CERT_enumerateAltName
goUd71Bv0lk CERT_enumerateAltName2
tf3dP8kVauc CERT_enumerateCRL
noRFMfbcI-g CERT_enumerateCRL2
Xy4cdu44Xr0 CERT_enumerateCRLAux
2FPKT8OxHxo CERT_extractAllDistinguishedNames
xyd+kSAhtSw CERT_extractDistinguishedNames
BQIv6mcPFRM CERT_extractDistinguishedNames2
nxcdqUGDgW8 CERT_extractDistinguishedNamesFromName
u82YRvIENeo CERT_extractRSAKey
HBWarJFXoCM CERT_extractSerialNum
8Lemumnt1-8 CERT_extractSerialNum2
JhanUiHOg-M CERT_extractValidityTime
6ocfVwswH-E CERT_extractValidityTime2
8FqgR3V7gHs CERT_getCertExtension
Pt3o1t+hh1g CERT_getCertSignAlgoType
sRIARmcXPHE CERT_getCertificateExtensions
ABAA2f3PM8k CERT_getCertificateExtensions2
CATkBsr20tY CERT_getCertificateIssuerSerialNumber
JpnKObUJsxQ CERT_getCertificateIssuerSerialNumber2
jp75ki1UzRU CERT_getCertificateKeyUsage
prSVrFdvQiU CERT_getCertificateKeyUsage2
8+UPqcEgsYg CERT_getCertificateSubject
X-rqVhPnKJI CERT_getCertificateSubject2
GCPUCV9k1Mg CERT_getNumberOfChild
lCB1AE4xSkE CERT_getRSASignatureAlgo
+7U74Zy7gKg CERT_getSignatureItem
hOABTkhp6NM CERT_getSubjectCommonName
3CECWZfBTVg CERT_getSubjectCommonName2
OP-VhFdtkmo CERT_isRootCertificate
0iwGE4M4DU8 CERT_isRootCertificate2
pWg3+mTkoTI CERT_rawVerifyOID
HofoEUZ5mOM CERT_rawVerifyOID2
w2lGr-89zLc CERT_setKeyFromSubjectPublicKeyInfo
OeGeb9Njons CERT_setKeyFromSubjectPublicKeyInfoCert
GTSbNvpE1fQ CERT_validateCertificate
j6Wk8AtmVQM CERT_validateCertificateWithConf
GPRMLcwyslw CERT_verifySignature
cBNGAG1DkXc CMAC_CTX_free
mwJYST4Bb3U CMAC_CTX_new
6MM7ng9P+18 CMAC_Final
LATrF+dIZYI CMAC_Init
XpAJ1Ckg-q4 CMAC_Update
gWNKviFrCKg CONF_modules_free
88QdTuQS0oc CONF_modules_load_file
3enOTWb1NUo CRYPTO_THREADID_set_callback
ln23C1hwb5o CRYPTO_THREADID_set_numeric
FnLDy4R08cQ CRYPTO_cleanup_all_ex_data
jr41BgCFUZE CRYPTO_free
PRWr3-ytpdg CRYPTO_initAsymmetricKey
TLIFhMZosmw CRYPTO_malloc
gTWWXt1vhaU CRYPTO_memcmp
E4lrM+EnUjA CRYPTO_num_locks
NkZzz2hl0e0 CRYPTO_set_add_lock_callback
JCBQmmKJcw4 CRYPTO_set_locking_callback
Ts1rKbGPoN4 CRYPTO_set_mem_functions
cW7VCIMCh9A CRYPTO_uninitAsymmetricKey
1tk0xABWfqk Canonicalize
VC8PCwSx3g0 CheckSystemEvents
9NdR8grnNI8 CloseZStream
3XHnMfffKJE CmdThread
Py8HlsNrKVc CmdfullpathThread
yNFPPeNhIwk CommerceDialogBrowseCategory
YpeJJ7DL1Zo CommerceDialogBrowseProduct
o3tYKx8oBBA CommerceDialogInit
ZLINx2XbQQ8 CommerceDialogRedeemPromotionCode
k7y31RwRcGg CommerceHidePsStoreIcon
3rXpEBCRi1o CommerceSetPsStoreIconLayout
9-iVwdotSr4 CommerceShowPsStoreIcon
z7D3a8pXEeE CpsInitKey
MjYzx34cnmE CreateWebApiLibCtx
EgiXIlZ8rwo CreateZStream
x4fETeuAcVU CryptographyDecryptAES128CBC
1HSkObnLOC0 CryptographyDecryptAES128CBC_HS256
MaAqY5ufzmk CryptographyDecryptAES128GCM
WM4KfSxNA3I CryptographyEncryptAES128CBC
SYc9wxeZia8 CryptographyEncryptAES128GCM
0L0rPrqMqqE CryptographyGenerateHmacSha256
mtAGcMQCufk CurlGetDefaultUA
xjVZ2aqjVrg CurlMultiInitialize
XuNOIRPz7Os CurlMultiQueueRequest
VlnUVT4Q3rI CurlSendRequest
fUKL6ZhILWM DES_ecb_encrypt
mVU3F9ZQgus DES_set_key
G+XSOLKw5AI DES_set_odd_parity
b3i4-QBYzWQ DH_get0_key
A-x1fiSwh0A DH_get0_pqg
5fPSgTdqQzg DSA_get0_key
DZ9z+onj7Jk DSA_get0_pqg
ef6LHi9kFVA DTLSv1_client_method
znTrJH9b2h8 DTLSv1_server_method
E3T8u3pGTv8 DW.ref.__gxx_personality_v0
pBcDo3rvuyQ DbRecoveryGetRecoverDbStatus
f5VGINGUjjY DbRecoveryRecoverDb
hP81Fkk27pg DecryptRnpsBundle
RJ9NntjPcEs DestroyWebApiLibCtx
jlIfgOEzZ2A DisableSystemMedia
EvvQwl+bIv4 DvdMac
hOHLNfago9M ECDH_compute_key
6qGhMiG+4-0 ECDSA_sign
vMPn2lAhggg ECDSA_size
IkWJtQkfvZs ECDSA_verify
hMV6sxdqoCE EC_GROUP_free
OL6P62kBuqU EC_GROUP_get_degree
47B8y-Mqy78 EC_GROUP_new_by_curve_name
nv47rdhcTd8 EC_KEY_check_key
qBVx0vmleoc EC_KEY_free
WVDyhysv8q4 EC_KEY_generate_key
yWnTOhbW6js EC_KEY_get0_group
PZSrBx2jITw EC_KEY_get0_private_key
WvdR33NV7tA EC_KEY_get0_public_key
jSCucWQXbRg EC_KEY_new
pICgBkuuluk EC_KEY_new_by_curve_name
pn25GI6nxCY EC_KEY_set_group
i0q6BKDSDQY EC_KEY_set_private_key
ez2aUegdWWY EC_KEY_set_public_key
oe51pWaltmY EC_KEY_up_ref
J-JL-TLqlrI EC_POINT_free
Sw6hs2iJZkU EC_POINT_mul
gW+And3d2E4 EC_POINT_new
U4XJUmHlBk8 EC_POINT_oct2point
DWY1jnsgOQI EC_POINT_point2oct
uIV7vlecUPo ENGINE_by_id
Htr6CcbIOGQ ENGINE_cleanup
y-pCS5uWxG4 ENGINE_ctrl
6LCn0yJSOo0 ENGINE_ctrl_cmd
dMbPuG5+zI4 ENGINE_finish
AzuirRhvygA ENGINE_free
3HqyBrpu3jA ENGINE_get_first
s6NIjUCdhnM ENGINE_get_id
DEJWhX-yHNg ENGINE_get_next
O1i2y1YXwew ENGINE_init
fR1b6Fe21KQ ENGINE_load_builtin_engines
8WTNYVcLNFA ENGINE_load_private_key
nPlaotGlNnk ENGINE_set_default
sieQ--PINWg ERR_clear_error
KjA4JEfO6zA ERR_error_string
g2Dgo0zmHL8 ERR_error_string_n
gdAW0ETVhxk ERR_free_strings
DJg+qWX1rwY ERR_get_error
Kidh9uvn1J4 ERR_load_crypto_strings
Aytjey6FPTU ERR_peek_error
tuBR2AhkJAo ERR_peek_last_error
gtRD8r2e+uk ERR_print_errors_cb
FcL+-Kw05rE ERR_remove_thread_state
daeq2j6k3Bc EVP_CIPHER_CTX_cleanup
loEDv3wwKmc EVP_CIPHER_CTX_ctrl
2q1DC47z1JM EVP_CIPHER_CTX_free
t3HY010u9lI EVP_CIPHER_CTX_init
BZCFjYmSXCg EVP_CIPHER_CTX_new
6fxExrea6+4 EVP_CIPHER_CTX_set_flags
8JHXNHuOCIw EVP_CIPHER_CTX_set_padding
E5bdqIaXjl0 EVP_CIPHER_block_size
FgP0jMzeUU0 EVP_CipherFinal_ex
8SJGJaRiCaY EVP_CipherInit_ex
w03a1pfG8oM EVP_CipherUpdate
urpDB9rHb4s EVP_DecryptFinal_ex
v6+-XI7oasY EVP_DecryptInit_ex
IXiXAHDFjeU EVP_DecryptUpdate
d95AS8gZm4w EVP_Digest
uVzufRohxCU EVP_DigestFinal_ex
f3k1FP3GhrM EVP_DigestInit
SX2VlKarfpU EVP_DigestInit_ex
aCJB0y-oxpQ EVP_DigestSignFinal
WSOAkqohyZ4 EVP_DigestSignInit
6LrAQY0Ka4c EVP_DigestUpdate
6QfhFhAfeIo EVP_DigestVerifyFinal
Y5ChdsxEESU EVP_DigestVerifyInit
9x78-Zpc+XE EVP_EncryptFinal_ex
glDpAbxwC5A EVP_EncryptInit
SKlr+nCivO4 EVP_EncryptInit_ex
OnoZKqFGNjA EVP_EncryptUpdate
J8oy-Lxf1jg EVP_MD_CTX_cleanup
a81mBvClIkA EVP_MD_CTX_create
NdGinrpcn5M EVP_MD_CTX_destroy
6FUnD2VHRrw EVP_MD_CTX_free
nxCPeDBLP5U EVP_MD_CTX_init
sBU5xuq8Kss EVP_MD_CTX_new
5VpbYYKsV38 EVP_MD_size
cOn-hwc-a9Y EVP_PKCS82PKEY
NHXXBidSb6Y EVP_PKEY_CTX_ctrl
rHanQbFAxhg EVP_PKEY_CTX_new
oa8shQdXY2A EVP_PKEY_copy_parameters
BUwiEkA1Qgc EVP_PKEY_decrypt
ULXYAELxNqw EVP_PKEY_decrypt_init
D2dW1Xovxsw EVP_PKEY_encrypt
8cQ3pFKHXPA EVP_PKEY_encrypt_init
S7L4OYSnC0Q EVP_PKEY_free
DLSijjw25cc EVP_PKEY_get0_DH
Typ5Xg0UqKY EVP_PKEY_get0_DSA
ZKKEsuemxEU EVP_PKEY_get0_RSA
qB+V9Qvf9qg EVP_PKEY_get1_EC_KEY
5RBpaKVkWRQ EVP_PKEY_get1_RSA
yPuxTL2GJO0 EVP_PKEY_id
LiZK5PkEeMY EVP_PKEY_new
m0bTFPN3yzk EVP_PKEY_new_mac_key
mIMMM6v3k4c EVP_PKEY_set1_EC_KEY
Ek3df14vjDk EVP_PKEY_set1_RSA
uoC6WmyO4Dg EVP_PKEY_size
Ky8m3qWEwjE EVP_PKEY_type
GT3wfuoOO5o EVP_PKEY_up_ref
2hRhoMRXm6s EVP_SignFinal
qHQWno0ZEDY EVP_VerifyFinal
rV07jlO-+6Q EVP_aes_128_cbc
Yvgbj5WSi1M EVP_aes_128_cfb8
qmya3Mw0akk EVP_aes_128_ctr
ZIFUDmJiS7M EVP_aes_128_gcm
MPYmtcrGwQw EVP_aes_128_wrap
0X5DnA3olsk EVP_aes_192_cbc
XjdUq9LgZcU EVP_aes_192_cfb8
RD9L4eg0m-c EVP_aes_192_ctr
6qI5g0UUyRw EVP_aes_192_gcm
K7TCNQ4DrdE EVP_aes_192_wrap
J44dsZUcK4I EVP_aes_256_cbc
o5ZNfuML+b8 EVP_aes_256_cfb8
yqy2+88mUx8 EVP_aes_256_ctr
BCvXipfsDpg EVP_aes_256_gcm
mcYVamD0JVM EVP_aes_256_wrap
oS+tOQc+xHw EVP_cleanup
wlIcfy4NdP8 EVP_ecdsa
h1xWU1RxIG4 EVP_md5
XqiuPR7CeJU EVP_sha1
grr+gIjFYs4 EVP_sha224
1LBVOD6fQok EVP_sha256
nRYvlfcejis EVP_sha384
45R8R4xDgOo EVP_sha512
PUnaOnE5qv4 ErrorDialogClose
WeZCXuG60OQ ErrorDialogInit
ds9BJbeJ0ZQ ErrorDialogOpen
mCIXittfvrw FTA_Add_Module
r2C1PcTDYxk FTA_Add_Module_autofitter
1gAJb1uKyGo FTA_Add_Module_bdf
IjquEAbfizc FTA_Add_Module_cff
L-qInx9Dldk FTA_Add_Module_gxvalid
mhK+E1i3VuE FTA_Add_Module_otvalid
bAbUJvsiVdI FTA_Add_Module_pcf
1GYsjUC-HLM FTA_Add_Module_pfr
KLaWCpRxYWo FTA_Add_Module_psaux
qodr9TJuFds FTA_Add_Module_pshinter
Ic8JMhUFe88 FTA_Add_Module_psnames
CIrV8Sq2Uic FTA_Add_Module_raster1
wbyY8kfNfaI FTA_Add_Module_raster5
eS+4GhL28gs FTA_Add_Module_sfnt
XpA3dnvjl8w FTA_Add_Module_smooth
NLA7bmDS1jc FTA_Add_Module_smooth_lcd
xcJCXHqBrjE FTA_Add_Module_smooth_lcdv
oKG-LjaBzzs FTA_Add_Module_t1cid
zxsyxyiLthM FTA_Add_Module_truetype
+v66TBg7tzA FTA_Add_Module_type1
ZYpIYZg3Jf4 FTA_Add_Module_type42
JSi+hWkA9pI FTA_Add_Module_winfonts
bZYqFlUVPCY FTA_Export_Module_autofitter
ZhVdSRyrpUI FTA_Export_Module_bdf
phi4au-2t04 FTA_Export_Module_cff
qC+tiGwcW7E FTA_Export_Module_gxvalid
rl7aW17qQb8 FTA_Export_Module_otvalid
-qwk1RxUuDA FTA_Export_Module_pcf
mQYQAi8B0Yo FTA_Export_Module_pfr
4TJ1qJGXAV8 FTA_Export_Module_psaux
IewcaRR3F8I FTA_Export_Module_pshinter
vuuFugcw5ss FTA_Export_Module_psnames
xaswa+ndZS0 FTA_Export_Module_raster1
6zDeyzjWz-8 FTA_Export_Module_raster5
5-z1quqcDYo FTA_Export_Module_sfnt
VVfxa65sWF0 FTA_Export_Module_smooth
+bRRhPeBqZI FTA_Export_Module_smooth_lcd
q7kTOFaQrW4 FTA_Export_Module_smooth_lcdv
aX8PI-h3+dE FTA_Export_Module_t1cid
KIKL0rz6o-A FTA_Export_Module_truetype
QPh+yb2Y8AQ FTA_Export_Module_type1
u36SHyuWQCA FTA_Export_Module_type42
ZHsmiChQLTk FTA_Export_Module_winfonts
q2ESpjCIk7w FTA_Remove_Module_autofitter
C0nVvG6+x-s FTA_Remove_Module_bdf
DIIRFBxRfMQ FTA_Remove_Module_cff
s3qCnsS3ATE FTA_Remove_Module_gxvalid
OutzOzZp6-w FTA_Remove_Module_otvalid
E9y7-AmuziU FTA_Remove_Module_pcf
-whG27+m+C0 FTA_Remove_Module_pfr
wGGhfabJAbs FTA_Remove_Module_psaux
KuJkc0qDvOQ FTA_Remove_Module_pshinter
jqMurvieLBk FTA_Remove_Module_psnames
z9YQIyuTMV4 FTA_Remove_Module_raster1
SKUldaN3e2A FTA_Remove_Module_raster5
50HTRXvbW-k FTA_Remove_Module_sfnt
M5dtVv0ln5Q FTA_Remove_Module_smooth
xtb9fOR6ilA FTA_Remove_Module_smooth_lcd
6z2P2V2XCiI FTA_Remove_Module_smooth_lcdv
MJVrwM6aTTk FTA_Remove_Module_t1cid
EveUtaCYQgk FTA_Remove_Module_truetype
B7Sw-iUs7e4 FTA_Remove_Module_type1
RM21Fgm0ZvQ FTA_Remove_Module_type42
OmxJF0FvwWc FTA_Remove_Module_winfonts
4to3tThESn0 FTA_Support_Format_Bdf
JuzrPZClLew FTA_Support_Format_Cid
sylevnx-fqk FTA_Support_Format_OpenType
0RSuGozMl9o FTA_Support_Format_OpenType_Otf
J3HnvW8FJV8 FTA_Support_Format_OpenType_Ttf
2D3H+1nhwqQ FTA_Support_Format_Pcf
upeKra1FaQk FTA_Support_Format_Pfr
YpxR8CqGMIM FTA_Support_Format_TrueType
83qtpn8+XnA FTA_Support_Format_TrueTypeGx
g2p7fkJpuC0 FTA_Support_Format_Type1
xqjAbn8VNGo FTA_Support_Format_Type42
Yu7mmGCjSYM FTA_Support_Format_WinFonts
SDPzjFN7y4E FTA_Support_Hinter_AutoFitter
oM0zMNCfXKM FTA_Support_Modules
3dTNNBoujn0 FTA_Support_Renderer_Raster1
Tzm-z36UYKg FTA_Support_Renderer_Raster5
b7S96aD8dkE FTA_Support_Renderer_Smooth
M94SjXo-UVA FTA_Support_Renderer_Smooth_Lcd
Ns9a-LjOcDw FTA_Support_Renderer_Smooth_Lcdv
yKy2yHbclT0 FTC_CMapCache_Lookup
Z5y4QZQXuWk FTC_CMapCache_New
SFzDnsUdC4Y FTC_ImageCache_Lookup
q+cypk3W8IM FTC_ImageCache_LookupScaler
SB2LzHAzJus FTC_ImageCache_New
FgKMxg-joM8 FTC_Image_Cache_Lookup
+3MiDyKGrtI FTC_Image_Cache_New
UNmP8qXsa6s FTC_Manager_Done
YnvnsdpXc4g FTC_Manager_LookupFace
x9mgKEJJ24c FTC_Manager_LookupSize
u5g0kZcJ0wI FTC_Manager_Lookup_Face
8sRazHFyyQw FTC_Manager_Lookup_Size
DYbLD-s1oiQ FTC_Manager_New
8BmNb6bfcL0 FTC_Manager_RemoveFaceID
0qfrdvzGuSw FTC_Manager_Reset
Py8hBfDOUB8 FTC_Node_Unref
5x92kVGvuec FTC_SBitCache_Lookup
YZopotHD7tA FTC_SBitCache_LookupScaler
ovgEnRhGU2E FTC_SBitCache_New
SgSjKKwFmN8 FTC_SBit_Cache_Lookup
It2gHn6TKgk FTC_SBit_Cache_New
EBvr2CZnjVo FT_Activate_Size
pSgOzwkzx4Y FT_Add_Default_Modules
LonHHN98tMI FT_Add_Module
Uw+BZJpflxk FT_Alloc
D1l8+Bu+-Y8 FT_Angle_Diff
p90G4PB-rPc FT_Atan2
21vkVuOP2lk FT_Attach_File
ZqvTX8u1bEc FT_Attach_Stream
cR-yQldyXvs FT_Bitmap_Convert
1GL9pCFuiHQ FT_Bitmap_Copy
Mu2upxmY2C8 FT_Bitmap_Done
wcMdf-kMx7o FT_Bitmap_Embolden
I6LQd5tyt0w FT_Bitmap_Init
-AeE58GkM+Q FT_Bitmap_New
h0n4Fb9j2R8 FT_CMap_Done
wLqQQWyOdpc FT_CMap_New
92e4jZiW9Tc FT_CeilFix
exDiYq9Q1GM FT_ClassicKern_Free
pO0sA7m+UKY FT_ClassicKern_Validate
yD4-QaNSink FT_Cos
fp-jO+c8Rfk FT_DivFix
OgFczHko0w8 FT_Done_Face
dH02CpEEcYk FT_Done_FreeType
RdrrejUMiJ0 FT_Done_Glyph
oJm1lThZ3iQ FT_Done_GlyphSlot
1XCz6Gk0Lt4 FT_Done_Library
y5xKqqrxGvU FT_Done_MM_Var
UTumVjeIQtg FT_Done_Memory
-2rnxRCeHMs FT_Done_Size
+G9vZcqBAfY FT_Face_CheckTrueTypePatents
dPcZ76eZb64 FT_Face_GetCharVariantIndex
Vrab2WK1mgk FT_Face_GetCharVariantIsDefault
tl72PmqhXww FT_Face_GetCharsOfVariant
9Lm2mfsSmws FT_Face_GetVariantSelectors
mGMeRKWGTL4 FT_Face_GetVariantsOfChar
EruGr0TR1CU FT_Face_SetUnpatentedHinting
EqN+ED6P2FA FT_FloorFix
fHMsRluEMfI FT_Free
dMSDtQsYuJM FT_Get_Advance
l55oKq6zmrA FT_Get_Advances
NLwiYXdX5WU FT_Get_CID_From_Glyph_Index
p-LFZYbDPDU FT_Get_CID_Is_Internally_CID_Keyed
Pr3eI2uGgvU FT_Get_CID_Registry_Ordering_Supplement
MXgrzq0nh1Q FT_Get_CMap_Format
2UZg+FAym4c FT_Get_CMap_Language_ID
obnSzeb-KXk FT_Get_Char_Index
edmDMsPE7Zg FT_Get_Charmap_Index
H4eyE4ez7O4 FT_Get_FSType_Flags
qoysbJFu5sI FT_Get_First_Char
N1S26TrBLLk FT_Get_Font_Format
l4azYkX86Ds FT_Get_Gasp
eMKHL+Cj50k FT_Get_Glyph
